2025-05-07 17:27:30,099 - NEATTraining - INFO - Starting NEAT agent training
2025-05-07 17:27:30,103 - NEATTraining - INFO - Environment: CartPole-v1
2025-05-07 17:27:30,103 - NEATTraining - INFO - State space: Box([-4.8               -inf -0.41887903        -inf], [4.8               inf 0.41887903        inf], (4,), float32)
2025-05-07 17:27:30,103 - NEATTraining - INFO - Action space: Discrete(2)
2025-05-07 17:27:30,141 - NEATTraining - INFO - Generation 0: Average Return = 16.70, Best Return = 94.00
2025-05-07 17:28:06,328 - NEATTraining - INFO - Starting NEAT agent training
2025-05-07 17:28:06,332 - NEATTraining - INFO - Environment: CartPole-v1
2025-05-07 17:28:06,332 - NEATTraining - INFO - State space: Box([-4.8               -inf -0.41887903        -inf], [4.8               inf 0.41887903        inf], (4,), float32)
2025-05-07 17:28:06,332 - NEATTraining - INFO - Action space: Discrete(2)
2025-05-07 17:28:06,374 - NEATTraining - INFO - Generation 0: Average Return = 20.68, Best Return = 207.00
2025-05-07 17:28:06,440 - NEATTraining - INFO - Generation 1: Average Return = 21.20, Best Return = 232.00
2025-05-07 17:28:06,505 - NEATTraining - INFO - Generation 2: Average Return = 21.16, Best Return = 246.00
2025-05-07 17:28:06,557 - NEATTraining - INFO - Generation 3: Average Return = 20.92, Best Return = 246.00
2025-05-07 17:28:06,608 - NEATTraining - INFO - Generation 4: Average Return = 19.48, Best Return = 246.00
2025-05-07 17:28:06,661 - NEATTraining - INFO - Generation 5: Average Return = 21.12, Best Return = 260.00
2025-05-07 17:28:06,717 - NEATTraining - INFO - Generation 6: Average Return = 23.00, Best Return = 260.00
2025-05-07 17:28:06,770 - NEATTraining - INFO - Generation 7: Average Return = 20.84, Best Return = 260.00
2025-05-07 17:28:06,820 - NEATTraining - INFO - Generation 8: Average Return = 19.08, Best Return = 260.00
2025-05-07 17:28:06,874 - NEATTraining - INFO - Generation 9: Average Return = 21.06, Best Return = 260.00
2025-05-07 17:28:06,931 - NEATTraining - INFO - Generation 10: Average Return = 19.72, Best Return = 260.00
2025-05-07 17:28:06,980 - NEATTraining - INFO - Generation 11: Average Return = 18.38, Best Return = 260.00
2025-05-07 17:28:07,037 - NEATTraining - INFO - Generation 12: Average Return = 21.06, Best Return = 260.00
2025-05-07 17:28:07,087 - NEATTraining - INFO - Generation 13: Average Return = 20.08, Best Return = 260.00
2025-05-07 17:28:07,141 - NEATTraining - INFO - Generation 14: Average Return = 19.34, Best Return = 260.00
2025-05-07 17:28:07,200 - NEATTraining - INFO - Generation 15: Average Return = 27.08, Best Return = 500.00
2025-05-07 17:28:07,262 - NEATTraining - INFO - Generation 16: Average Return = 19.30, Best Return = 500.00
2025-05-07 17:28:07,317 - NEATTraining - INFO - Generation 17: Average Return = 21.58, Best Return = 500.00
2025-05-07 17:28:07,377 - NEATTraining - INFO - Generation 18: Average Return = 27.32, Best Return = 500.00
2025-05-07 17:28:07,427 - NEATTraining - INFO - Generation 19: Average Return = 19.48, Best Return = 500.00
2025-05-07 17:28:07,479 - NEATTraining - INFO - Generation 20: Average Return = 21.06, Best Return = 500.00
2025-05-07 17:28:07,533 - NEATTraining - INFO - Generation 21: Average Return = 22.66, Best Return = 500.00
2025-05-07 17:28:07,584 - NEATTraining - INFO - Generation 22: Average Return = 18.96, Best Return = 500.00
2025-05-07 17:28:07,634 - NEATTraining - INFO - Generation 23: Average Return = 20.16, Best Return = 500.00
2025-05-07 17:28:07,687 - NEATTraining - INFO - Generation 24: Average Return = 21.88, Best Return = 500.00
2025-05-07 17:28:07,745 - NEATTraining - INFO - Generation 25: Average Return = 27.66, Best Return = 500.00
2025-05-07 17:28:07,797 - NEATTraining - INFO - Generation 26: Average Return = 19.56, Best Return = 500.00
2025-05-07 17:28:07,848 - NEATTraining - INFO - Generation 27: Average Return = 20.02, Best Return = 500.00
2025-05-07 17:28:07,899 - NEATTraining - INFO - Generation 28: Average Return = 20.22, Best Return = 500.00
2025-05-07 17:28:07,950 - NEATTraining - INFO - Generation 29: Average Return = 19.36, Best Return = 500.00
2025-05-07 17:28:08,000 - NEATTraining - INFO - Generation 30: Average Return = 18.90, Best Return = 500.00
2025-05-07 17:28:08,051 - NEATTraining - INFO - Generation 31: Average Return = 20.06, Best Return = 500.00
2025-05-07 17:28:08,111 - NEATTraining - INFO - Generation 32: Average Return = 19.82, Best Return = 500.00
2025-05-07 17:28:08,161 - NEATTraining - INFO - Generation 33: Average Return = 18.56, Best Return = 500.00
2025-05-07 17:28:08,215 - NEATTraining - INFO - Generation 34: Average Return = 21.42, Best Return = 500.00
2025-05-07 17:28:08,268 - NEATTraining - INFO - Generation 35: Average Return = 18.58, Best Return = 500.00
2025-05-07 17:28:08,323 - NEATTraining - INFO - Generation 36: Average Return = 19.26, Best Return = 500.00
2025-05-07 17:28:08,373 - NEATTraining - INFO - Generation 37: Average Return = 19.76, Best Return = 500.00
2025-05-07 17:28:08,427 - NEATTraining - INFO - Generation 38: Average Return = 19.40, Best Return = 500.00
2025-05-07 17:28:08,487 - NEATTraining - INFO - Generation 39: Average Return = 20.24, Best Return = 500.00
2025-05-07 17:28:08,550 - NEATTraining - INFO - Generation 40: Average Return = 20.14, Best Return = 500.00
2025-05-07 17:28:08,603 - NEATTraining - INFO - Generation 41: Average Return = 20.22, Best Return = 500.00
2025-05-07 17:28:08,666 - NEATTraining - INFO - Generation 42: Average Return = 28.48, Best Return = 500.00
2025-05-07 17:28:08,714 - NEATTraining - INFO - Generation 43: Average Return = 18.86, Best Return = 500.00
2025-05-07 17:28:08,766 - NEATTraining - INFO - Generation 44: Average Return = 19.24, Best Return = 500.00
2025-05-07 17:28:08,816 - NEATTraining - INFO - Generation 45: Average Return = 20.26, Best Return = 500.00
2025-05-07 17:28:08,865 - NEATTraining - INFO - Generation 46: Average Return = 19.82, Best Return = 500.00
2025-05-07 17:28:08,913 - NEATTraining - INFO - Generation 47: Average Return = 19.00, Best Return = 500.00
2025-05-07 17:28:08,966 - NEATTraining - INFO - Generation 48: Average Return = 19.28, Best Return = 500.00
2025-05-07 17:28:09,027 - NEATTraining - INFO - Generation 49: Average Return = 28.44, Best Return = 500.00
2025-05-07 17:28:09,079 - NEATTraining - INFO - Generation 50: Average Return = 20.62, Best Return = 500.00
2025-05-07 17:28:09,137 - NEATTraining - INFO - Generation 51: Average Return = 26.66, Best Return = 500.00
2025-05-07 17:28:09,197 - NEATTraining - INFO - Generation 52: Average Return = 20.56, Best Return = 500.00
2025-05-07 17:28:09,253 - NEATTraining - INFO - Generation 53: Average Return = 19.40, Best Return = 500.00
2025-05-07 17:28:09,307 - NEATTraining - INFO - Generation 54: Average Return = 20.70, Best Return = 500.00
2025-05-07 17:28:09,357 - NEATTraining - INFO - Generation 55: Average Return = 19.84, Best Return = 500.00
2025-05-07 17:28:09,409 - NEATTraining - INFO - Generation 56: Average Return = 20.54, Best Return = 500.00
2025-05-07 17:28:09,460 - NEATTraining - INFO - Generation 57: Average Return = 18.86, Best Return = 500.00
2025-05-07 17:28:09,507 - NEATTraining - INFO - Generation 58: Average Return = 18.02, Best Return = 500.00
2025-05-07 17:28:09,566 - NEATTraining - INFO - Generation 59: Average Return = 20.48, Best Return = 500.00
2025-05-07 17:28:09,616 - NEATTraining - INFO - Generation 60: Average Return = 19.72, Best Return = 500.00
2025-05-07 17:28:09,667 - NEATTraining - INFO - Generation 61: Average Return = 19.10, Best Return = 500.00
2025-05-07 17:28:09,718 - NEATTraining - INFO - Generation 62: Average Return = 20.80, Best Return = 500.00
2025-05-07 17:28:09,779 - NEATTraining - INFO - Generation 63: Average Return = 19.42, Best Return = 500.00
2025-05-07 17:28:09,829 - NEATTraining - INFO - Generation 64: Average Return = 19.72, Best Return = 500.00
